num,sample1,sample2,AMT_score
1,S004C002P020R002A007,S011C003P038R001A022,0.1333333333333333
2,S007C001P015R002A027,S024C001P064R001A099,0.07407407400000003
3,S027C001P080R002A096,S005C002P016R002A022,0.0
4,S008C002P036R002A022,S005C001P016R002A022,0.9
5,S027C003P086R001A104,S025C001P066R002A104,0.5333333333333333
6,S023C001P068R002A101,S012C002P027R002A008,0.16666666666666666
7,S006C001P001R001A008,S001C001P008R001A048,0.0
8,S013C003P019R001A048,S008C001P007R001A039,0.06666666666666665
9,S008C002P033R002A007,S014C002P019R002A007,0.8333333333333334
10,S030C001P095R002A097,S020C003P052R001A104,0.1515151516666667
11,S020C001P053R001A099,S023C001P059R001A099,0.8666666666666667
12,S032C001P102R002A098,S024C001P060R002A096,0.40740740733333336
13,S032C003P106R001A096,S025C003P068R001A096,0.888888889
14,S010C002P008R002A040,S017C001P003R002A007,0.0
15,S028C001P073R002A101,S008C001P001R002A035,0.14814814799999998
16,S002C001P011R001A008,S002C001P014R002A008,0.9
17,S008C003P033R001A039,S002C002P014R002A048,0.06666666666666665
18,S001C001P003R002A040,S004C001P020R002A039,0.10000000000000002
19,S023C002P061R002A104,S010C001P013R002A040,0.03333333333333336
20,S027C003P083R001A101,S007C003P016R001A035,0.18518518533333336
21,S010C001P021R002A008,S005C001P010R002A008,0.888888889
22,S026C001P071R001A104,S019C001P050R002A104,0.11111111099999997
23,S029C002P080R002A080,S007C001P028R001A008,0.11111111099999997
24,S002C001P013R001A023,S023C001P058R002A104,0.0
25,S028C001P046R001A104,S023C002P064R002A080,0.0
26,S006C002P008R002A026,S032C003P106R001A099,0.03030303033333337
27,S028C003P043R001A096,S031C003P100R001A096,0.8666666666666667
28,S008C001P015R002A007,S017C002P009R002A007,0.9333333333333332
29,S026C001P071R001A104,S008C001P031R002A040,0.03333333333333336
30,S008C002P029R002A027,S003C003P018R001A027,0.6666666666666666
31,S030C003P011R001A100,S031C002P097R002A100,0.925925926
32,S028C002P087R002A100,S007C001P016R001A026,0.3333333333333333
33,S018C003P008R001A095,S011C001P018R002A022,0.4000000000000001
34,S026C001P071R001A098,S031C003P100R001A097,0.16666666666666666
